Run,Trial,enter room,exit room,next room,triage,Mean,,Overall Mean,,Standard Deviation,,Variance
exp-0038,Trial-55,0.29787234,1,0.9375,0.656716418,0.72302219,,,,,,
exp-0038,Trial-135,0.609756098,1,0.933333333,0.590909091,0.78349963,,,,,,
exp-0039,Trial-122,0.6,0.9375,1,0.787878788,0.831344697,,,,,,
exp-0039,Trial-238,0.5,1,0.9,0.625,0.75625,,,,,,
exp-0039,Trial-96,0.363636364,1,1,0.647058824,0.752673797,,,,,,
exp-0039,Trial-90,0.444444444,1,0.882352941,0.692307692,0.754776269,,,,,,
exp-0039,Trial-245,0.583333333,1,0.916666667,0.714285714,0.803571429,,,,,,
exp-0039,Trial-121,0.583333333,1,1,0.740740741,0.831018519,,,,,,
exp-0039,Trial-97,0.583333333,1,0.6875,0.555555556,0.706597222,,,,,,
exp-0039,Trial-202,0.590909091,1,0.923076923,0.52,0.758496503,,,,,,
exp-0039,Trial-80,0.571428571,1,0.8125,0.588235294,0.743040966,,,,,,
exp-0039,Trial-273,0.565217391,1,1,0.724137931,0.822338831,,,,,,
exp-0039,Trial-169,0.621621622,1,0.75,0.8,0.792905405,,,,,,
exp-0039,Trial-189,0.666666667,,,1,0.833333333,,,,,,
exp-0040,Trial-207,0.48,1,0.833333333,0.72972973,0.760765766,,,,,,
exp-0040,Trial-241,0.4,1,0.909090909,0.571428571,0.72012987,,,,,,
exp-0040,Trial-82,0.447368421,0.995951417,0.8,0.607142857,0.712615674,,,,,,
exp-0040,Trial-197,0.526315789,1,0.818181818,0.84375,0.797061902,,,,,,
exp-0040,Trial-49,0.525,0.95,0.928571429,0.510204082,0.728443878,,,,,,
exp-0040,Trial-251,0.459459459,0.956521739,0.933333333,0.513513514,0.715707011,,,,,,
exp-0040,Trial-131,0.615384615,0.944444444,1,0.4375,0.749332265,,,,,,
exp-0040,Trial-239,0.470588235,1,0.928571429,0.681818182,0.770244461,,,,,,
exp-0040,Trial-60,0.435897436,1,0.769230769,0.648648649,0.713444213,,,,,,
exp-0040,Trial-83,0.377358491,0.996742671,0.833333333,0.6,0.701858624,,,,,,
exp-0040,Trial-254,0.612903226,0.947368421,0.941176471,0.72,0.805362029,,,,,,
exp-0040,Trial-118,0.5,,,1,0.75,,,,,,
exp-0040,Trial-217,0.470588235,0.96,0.818181818,0.652173913,0.725235992,,,,,,
exp-0040,Trial-202,0.571428571,1,0.916666667,0.52,0.75202381,,,,,,
exp-0040,Trial-210,0.423076923,0.923076923,0.8,0.642857143,0.697252747,,,,,,
exp-0040,Trial-44,0.5,1,0.909090909,0.596153846,0.751311189,,,,,,
exp-0040,Trial-127,0.555555556,1,0.75,0.714285714,0.754960317,,,,,,
exp-0040,Trial-135,0.609756098,1,0.933333333,0.590909091,0.78349963,,,,,,
,,,,,,,,,,,,
Average,,0.537571721,0.98705746,0.888006625,0.656926396,0.771371785,,,,,,
Standard Deviation,,0.110971185,0.05885618,0.10045601,0.122296078,0.067845073,,,,,,
Variance,,0.012314604,0.00346405,0.01009141,0.014956331,0.004602954,,,,,,
