states,observations
"(82, 270)","[96, 83, 90, 82, 95, 84, 94, 92, 80, 93, 81, 91]"
"(83, 0)","[96, 83, 95, 84, 94, 85, 93, 86]"
"(83, 90)","[83, 85, 82, 81, 84]"
"(83, 180)","[81, 83, 90, 82, 92, 80, 93, 76, 91]"
"(83, 270)","[96, 83, 90, 82, 95, 84, 94, 85, 92, 93, 81, 91]"
"(84, 0)","[96, 95, 84, 94, 85, 86]"
"(84, 90)","[83, 86, 85, 82, 84]"
"(84, 180)","[81, 83, 90, 82, 84, 94, 92, 80, 93, 76, 91]"
"(84, 270)","[96, 83, 90, 82, 95, 84, 94, 85, 92, 93, 86, 91]"
"(85, 0)","[96, 95, 85, 86]"
"(85, 90)","[86, 83, 84, 85]"
"(85, 180)","[81, 83, 95, 90, 82, 84, 94, 92, 80, 85, 93, 91]"
"(85, 270)","[96, 83, 90, 95, 84, 94, 85, 92, 93, 86, 91]"
"(86, 0)","[96, 86]"
"(86, 90)","[86, 84, 85]"
"(86, 180)","[86, 96, 81, 83, 95, 90, 82, 84, 94, 92, 80, 85, 93, 76, 91]"
"(86, 270)","[96, 90, 95, 84, 94, 85, 92, 93, 86, 91]"
"(87, 0)","[73, 72, 62, 88, 77, 58, 87, 78, 74]"
"(87, 90)","[72, 87, 58, 74, 61, 77, 57, 73, 62, 88, 78]"
"(87, 180)","[72, 87, 77]"
"(87, 270)","[87, 88]"
"(88, 0)","[73, 88, 78, 74]"
"(88, 90)","[73, 61, 72, 62, 88, 77, 58, 87, 78, 57, 74]"
"(88, 180)","[72, 87, 61, 77, 57, 73, 88, 78]"
"(88, 270)","[87, 88]"
"(89, 0)","[79, 75, 89]"
"(89, 90)","[63, 74, 75, 89, 79]"
"(89, 180)","[79, 75, 74, 89]"
"(89, 270)",[89]
"(90, 0)","[96, 83, 90, 82, 95, 84, 94, 85, 92, 80, 93, 86, 81, 76, 91]"
"(90, 90)","[86, 81, 83, 90, 82, 84, 91, 92, 80, 85, 76]"
"(90, 180)","[90, 80, 76]"
"(90, 270)","[90, 92, 91]"
"(91, 0)","[96, 83, 82, 95, 84, 94, 85, 92, 93, 86, 81, 91]"
"(91, 90)","[86, 81, 83, 82, 90, 84, 92, 80, 85, 93, 76, 91]"
"(91, 180)","[81, 90, 91, 80, 76]"
"(91, 270)","[90, 92, 93, 91]"
"(92, 0)","[96, 83, 82, 95, 84, 94, 85, 92, 93, 86]"
"(92, 90)","[86, 81, 83, 82, 90, 84, 91, 94, 92, 80, 85, 93, 76]"
"(92, 180)","[81, 90, 82, 91, 92, 80, 76]"
"(92, 270)","[90, 94, 92, 93, 91]"
"(93, 0)","[96, 83, 95, 84, 94, 85, 93, 86]"
"(93, 90)","[86, 81, 95, 83, 82, 84, 91, 94, 92, 80, 85, 93, 76]"
"(93, 180)","[81, 83, 90, 82, 92, 80, 93, 76, 91]"
"(93, 270)","[95, 94, 92, 93, 91]"
